repulsion : Eades
attraction : Eades

Nouvelles postions des noeuds (x, y, z)
Node 41 : (1.5417703081777148, -0.2460114668616269, 0.9252495274186748)
Node 42 : (2.1162302733946663, 1.2009021885500475, 1.9238546219972925)
Node 43 : (1.8011099942666968, 1.1115138442943493, 0.7771564885438098)
Node 44 : (-1.617740669293501, 2.8345254575288057, 1.0470805712107283)
Node 45 : (2.2151638050635087, 0.5785594238417378, 1.7826752595785909)
Node 46 : (1.3500783012199609, 4.903941354135787, 2.5110050124335555)
Node 47 : (-0.39660996507563634, 2.722662114515385, 1.82904678994426)
Node 48 : (1.2259686142932473, -0.3029135192519101, 0.08963442064431591)
Node 49 : (1.601866327432742, 0.8357757111203635, 0.4482616611435363)
Node 50 : (1.495106979892518, -0.5893042035911225, 0.8643356734628478)
Node 51 : (-1.6703504307388868, 2.3473986110781806, 0.5627044565808406)
Node 52 : (1.8812475550438146, -0.5728377408506893, 1.498577268801423)
Node 53 : (-1.923008771754867, 1.6888575335777418, 0.26043341348909427)
Node 54 : (1.3528116910815104, 1.3363020514960187, 0.15270553666593398)
Node 55 : (1.5648351882890585, 0.6440365841385401, 0.48343656659327017)
Node 56 : (2.3616084182084114, -0.9186887984840636, 2.396647340199583)
Node 57 : (1.6219121251975062, 0.8706199177207956, 0.6054693517797209)
Node 58 : (1.912528358365547, 0.9565750151155271, 1.156148393272794)
Node 59 : (1.152718979364698, 5.0226434349301, 2.258806518551731)
Node 60 : (1.4915894209887686, -0.6465591944753466, 1.1848593393698708)
Node 61 : (1.6841007435854056, 1.1228162389191225, 0.8290994246199554)
Node 62 : (1.1705803352964452, -0.2814866594893695, -0.25337612178201513)
Node 63 : (-1.8543099297329948, 3.4136775579018463, 2.486233332005514)
Node 64 : (-2.075408489625868, 1.710297590201978, 0.11099795097752349)
Node 65 : (1.22385485877438, -0.49337844823376853, 0.3128492961792894)
Node 66 : (1.8415023911269035, 0.8553333306718495, 1.1155460132237769)
Node 67 : (-1.9142031759788973, 1.8885675459386244, 0.3366221619682519)
Node 68 : (1.3745712787731943, -0.40314222125025617, 0.5412723862882838)
Node 69 : (2.4832308673507844, 1.197257431638431, 2.3586747992877077)
Node 70 : (0.8757402286855774, -0.13138903084871761, -1.939659746567882)
Node 71 : (1.1110701816867192, 4.921280955613821, 2.547204019852591)
Node 72 : (1.5231338195780861, -0.3820275644905418, 0.7928218964236357)
Node 73 : (1.3655626811632902, 4.9861844818285705, 2.3004723757120407)
Node 74 : (-1.3147005919052746, 2.9109083177112063, 1.407885109972934)
Node 75 : (-1.3269526470230122, 1.8144688218951717, -0.031617308051725884)
Node 76 : (2.671407024020561, -0.41394181144665376, 2.3198336023872224)
Node 77 : (1.9357627645435382, 1.1682997724030775, 1.5567678325499519)
Node 78 : (-2.2017471841562934, 1.7805610268839465, 0.5090762276430336)
Node 79 : (1.4908894296134316, 0.21966982213592462, 0.49817296341151845)
Node 80 : (1.2869990943524974, 0.5367642404591122, -0.16246347433987354)
Node 81 : (2.589990747922355, -0.35122825548902736, 2.4455364103405626)
Node 82 : (1.4289586261979448, -0.6012157710254363, 1.0099316858828529)
Node 83 : (-1.732752778496655, 3.1657903370011984, 2.5455202588884247)
Node 84 : (-2.039864666114371, 1.8182958373537603, -0.0744574106521078)
Node 85 : (1.1092412767704052, 0.3067317886739878, -0.5610169947663998)
Node 86 : (-1.8747415593399255, 2.11321665025662, 0.4195460436633648)
Node 87 : (-2.2003823307507115, 1.7969895396561053, 0.26603930053534813)
Node 88 : (0.7697645338415763, 1.4548279609779058, -1.0586834016252664)
Node 89 : (2.5323318418738636, 0.2168924937019871, 2.2359522004213717)
Node 90 : (2.264266159596207, 1.8010728798483975, 2.311880773988167)
Node 91 : (0.9973633944171144, -0.2377624826188074, -1.2246406209766516)
Node 92 : (1.241119117259001, 5.115288865567377, 2.491817653690942)
Node 93 : (1.7976818674543185, 0.5702879746650129, 1.0427454446785822)
Node 94 : (2.8494291587379217, -0.26172354113488316, 2.386863928043925)
Node 95 : (2.719905519240601, 0.19075088215938268, 2.4443659838417116)
Node 96 : (2.4917975908439924, 1.0071512934929452, 2.249871682216867)
Node 97 : (0.6200500542627461, 1.3801672153662239, -1.1005151331070675)
Node 98 : (1.355572476339614, 0.5569981837685377, 0.05694721688926117)
Node 99 : (2.4211195423008967, -0.28107552977633815, 2.0199788221762445)
